"distance","elliptical","juxtaposition","overt_connective"
0,0.440175920753158,0.190291869463963,0.375898060751083
1.95959595959596,0.390283198233151,0.207404926241513,0.408130055517966
3.91919191919192,0.343420313756165,0.226413847824761,0.439407681447562
5.87878787878788,0.300736316041252,0.239711554072665,0.473904406087546
7.83838383838384,0.255720590829046,0.250839863332037,0.503882178408158
9.7979797979798,0.216853883444113,0.260126236746511,0.530172949274195
11.7575757575758,0.181138388803659,0.269286598143201,0.555244847839403
13.7171717171717,0.152599206712907,0.278195852454553,0.577594534500676
15.6767676767677,0.125569781947617,0.285305258804821,0.595852714866332
17.6363636363636,0.104362827658474,0.293999044851094,0.609534051718417
19.5959595959596,0.0849792587051783,0.300182809203256,0.619887932638586
21.5555555555556,0.0697321241062722,0.304141703121796,0.629946781333711
23.5151515151515,0.0580722423755743,0.305604675091733,0.63839624863236
25.4747474747475,0.0474793013994258,0.306960026774577,0.645583068240329
27.4343434343434,0.0386576548872443,0.308899425483711,0.654119743986596
29.3939393939394,0.0313968815187512,0.307928503923119,0.662577743805788
31.3535353535354,0.0251530681511763,0.30744130218156,0.664169812740844
33.3131313131313,0.0202523099891579,0.308422642677544,0.667782745046167
35.2727272727273,0.0163895084581242,0.309670892092127,0.6695152833168
37.2323232323232,0.0133461669593543,0.310296234891347,0.672293812703418
39.1919191919192,0.0109667006758213,0.309741214596357,0.674810241383995
41.1515151515151,0.00900112951685513,0.310162590567373,0.677107169989484
43.1111111111111,0.00738637186532544,0.30920843274403,0.679220306671408
45.0707070707071,0.00594763866578432,0.30811638063624,0.681948580950092
47.030303030303,0.00477645360938653,0.306636572218656,0.684603393511827
48.989898989899,0.00383523136029849,0.305237444548526,0.687102809102222
50.9494949494949,0.00307909207431062,0.30419616612763,0.689709003142657
52.9090909090909,0.00248531316091132,0.303135134043287,0.692194603571967
54.8686868686869,0.00204332470208168,0.301847915661734,0.694576686574018
56.8282828282828,0.00168023965967981,0.300494326640375,0.696869813256873
58.7878787878788,0.00137527557846973,0.299122295642129,0.699086384611346
60.7474747474747,0.00111265277945931,0.297735889358073,0.700843204181436
62.7070707070707,0.000901508162103295,0.296338433095406,0.702476833835206
64.6666666666667,0.000729687705141446,0.294932649149907,0.704078792987537
66.6262626262626,0.000598320830561263,0.292961855784561,0.706418139262245
68.5858585858586,0.000486723093334911,0.291291045596908,0.708455516140786
70.5454545454545,0.000396896769916806,0.290350582703659,0.709348141259457
72.5050505050505,0.00032057082929346,0.290193413569153,0.709521002950452
74.4646464646465,0.000258918351169953,0.288038027177832,0.711506619393712
76.4242424242424,0.000209119864718396,0.286423790145899,0.71323787288527
78.3838383838384,0.000168897166421962,0.285004250963018,0.714712205623507
80.3434343434343,0.00013640957566052,0.283586330343368,0.716175928066455
82.3030303030303,0.00011049740558495,0.28217050743937,0.717630061040196
84.2626262626263,8.90162037487318e-05,0.280757180559728,0.719075451030293
86.2222222222222,7.18605856719203e-05,0.279346681456895,0.720512800292016
88.1818181818182,5.81863861615318e-05,0.277939287021976,0.721942691639306
90.1414141414141,4.74239498935386e-05,0.276535228868539,0.723365608876597
92.1010101010101,3.89888924006833e-05,0.27513470119546,0.724781953658828
94.0606060606061,3.20535151997476e-05,0.27347154007999,0.726507824366355
96.020202020202,2.63513083129554e-05,0.271670852156286,0.728312403612375
97.979797979798,2.16630994303235e-05,0.270613294256928,0.729341662761307
99.9393939393939,1.78086508770795e-05,0.269778683057577,0.730173458159219
101.89898989899,1.46397470626905e-05,0.268780964089795,0.731178908650351
103.858585858586,1.19575949348733e-05,0.267785549458847,0.732180797401325
105.818181818182,9.64879819621035e-06,0.26679250527364,0.733179264348831
107.777777777778,7.78806780374684e-06,0.265801887462337,0.734174425562806
109.737373737374,6.28295239512254e-06,0.264813743473572,0.735166377222606
111.69696969697,5.02612104694001e-06,0.263828113687025,0.736155198927977
113.656565656566,4.0443320009887e-06,0.262845032583452,0.737140956457252
115.616161616162,3.2787611299266e-06,0.26186452971554,0.738123704066022
117.575757575758,2.6581041266372e-06,0.26088663051378,0.739103486403689
119.535353535354,2.15493413080174e-06,0.259911356955601,0.740080340111954
121.494949494949,1.74701390475127e-06,0.258938728121227,0.741054295158706
123.454545454545,1.41631422864845e-06,0.257968760655536,0.742025375951416
125.414141414141,1.14821787139769e-06,0.257001469152032,0.742993602266957
127.373737373737,9.30874076277807e-07,0.256036866472097,0.743958990028285
129.333333333333,7.54675118956846e-07,0.255074964010619,0.744921551953556
131.292929292929,6.11831866067607e-07,0.253681559259812,0.74631343529302
133.252525252525,4.96029619957954e-07,0.252095047437496,0.747900773166024
135.212121212121,4.02149070453547e-07,0.250515247791222,0.749481262080689
137.171717171717,3.26040042448976e-07,0.248942182857896,0.751054902224756
139.131313131313,2.64338054678502e-07,0.247375873398806,0.752621691773815
141.090909090909,2.14315592225284e-07,0.245816338591709,0.754181627332645
143.050505050505,1.73761526089323e-07,0.244263596190419,0.75573470430265
145.010101010101,1.40883354712692e-07,0.242717662657633,0.757280917187829
146.969696969697,1.14227949340935e-07,0.241178553275636,0.758820259849379
148.929292929293,9.26173017737524e-08,0.23964628223867,0.760352725717352
150.888888888889,7.50964353646469e-08,0.238120862730271,0.761878307966607
152.848484848485,6.08911772256391e-08,0.23660230698811,0.76339699966284
154.808080808081,4.93739251346812e-08,0.235090626358537,0.764908793883647
156.767676767677,4.00358958199429e-08,0.233585831342632,0.766413683818777
158.727272727273,3.23928611516393e-08,0.232087931635268,0.76791166285305
160.686868686869,2.61343114379148e-08,0.230596936158328,0.769402724634543
