"distance","structure","question","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
0,"elliptical",NA,NA,"1","elliptical",0,"elliptical",0.440175920753158,0.119927675304755,0.226529172250197,0.633866020774456
1.95959595959596,"elliptical",NA,NA,"1","elliptical",1.95959595959596,"elliptical",0.390283198233151,0.101718829550191,0.190630051780432,0.581357051956374
3.91919191919192,"elliptical",NA,NA,"1","elliptical",3.91919191919192,"elliptical",0.343420313756165,0.0894252349910983,0.159246944392034,0.526971327966668
5.87878787878788,"elliptical",NA,NA,"1","elliptical",5.87878787878788,"elliptical",0.300736316041252,0.0770922297374389,0.13218542003859,0.471991244250162
7.83838383838384,"elliptical",NA,NA,"1","elliptical",7.83838383838384,"elliptical",0.255720590829046,0.0733799270893966,0.109124946725244,0.417752015480056
9.7979797979798,"elliptical",NA,NA,"1","elliptical",9.7979797979798,"elliptical",0.216853883444113,0.0624953051476111,0.0896713312936685,0.365512653353613
11.7575757575758,"elliptical",NA,NA,"1","elliptical",11.7575757575758,"elliptical",0.181138388803659,0.0544853006552097,0.0734989913208216,0.316342995696921
13.7171717171717,"elliptical",NA,NA,"1","elliptical",13.7171717171717,"elliptical",0.152599206712907,0.0523643506407742,0.0602054122904696,0.271047249396185
15.6767676767677,"elliptical",NA,NA,"1","elliptical",15.6767676767677,"elliptical",0.125569781947617,0.0433931075697237,0.0491882767319037,0.233355421938555
17.6363636363636,"elliptical",NA,NA,"1","elliptical",17.6363636363636,"elliptical",0.104362827658474,0.0360464119180752,0.0408792847747773,0.200545421364461
19.5959595959596,"elliptical",NA,NA,"1","elliptical",19.5959595959596,"elliptical",0.0849792587051783,0.0295191021465817,0.0331030995661347,0.171132165161575
21.5555555555556,"elliptical",NA,NA,"1","elliptical",21.5555555555556,"elliptical",0.0697321241062722,0.026449459758255,0.0266446052713334,0.145238423228095
23.5151515151515,"elliptical",NA,NA,"1","elliptical",23.5151515151515,"elliptical",0.0580722423755743,0.0230859788706121,0.0211395768865111,0.122687910543804
25.4747474747475,"elliptical",NA,NA,"1","elliptical",25.4747474747475,"elliptical",0.0474793013994258,0.0188402887329891,0.0166772989597225,0.103230437107058
27.4343434343434,"elliptical",NA,NA,"1","elliptical",27.4343434343434,"elliptical",0.0386576548872443,0.0153007474637111,0.0133475738550705,0.0865733509764994
29.3939393939394,"elliptical",NA,NA,"1","elliptical",29.3939393939394,"elliptical",0.0313968815187512,0.0136138491726364,0.0106940000736792,0.0724072848311247
31.3535353535354,"elliptical",NA,NA,"1","elliptical",31.3535353535354,"elliptical",0.0251530681511763,0.0115883079964961,0.00856376346280975,0.0600354256556384
33.3131313131313,"elliptical",NA,NA,"1","elliptical",33.3131313131313,"elliptical",0.0202523099891579,0.00948988219077857,0.00685522925727223,0.0487337098407868
35.2727272727273,"elliptical",NA,NA,"1","elliptical",35.2727272727273,"elliptical",0.0163895084581242,0.00804018787290882,0.00548591782687671,0.0395631128366358
37.2323232323232,"elliptical",NA,NA,"1","elliptical",37.2323232323232,"elliptical",0.0133461669593543,0.00686165261220426,0.00438910976925698,0.0334536190727011
39.1919191919192,"elliptical",NA,NA,"1","elliptical",39.1919191919192,"elliptical",0.0109667006758213,0.00553131447286458,0.00351097186334126,0.0282600822069409
41.1515151515151,"elliptical",NA,NA,"1","elliptical",41.1515151515151,"elliptical",0.00900112951685513,0.00472983707507332,0.00280815580792897,0.0238531908769991
43.1111111111111,"elliptical",NA,NA,"1","elliptical",43.1111111111111,"elliptical",0.00738637186532544,0.0040457356693519,0.00224581181782319,0.0201195391989734
45.0707070707071,"elliptical",NA,NA,"1","elliptical",45.0707070707071,"elliptical",0.00594763866578432,0.00341211716284575,0.00175473010972512,0.0169603819972677
47.030303030303,"elliptical",NA,NA,"1","elliptical",47.030303030303,"elliptical",0.00477645360938653,0.0028570589509862,0.00133731476705189,0.0142902482554544
48.989898989899,"elliptical",NA,NA,"1","elliptical",48.989898989899,"elliptical",0.00383523136029849,0.00235789792851288,0.00101928550100918,0.0120355196889807
50.9494949494949,"elliptical",NA,NA,"1","elliptical",50.9494949494949,"elliptical",0.00307909207431062,0.00195450768633841,0.000776978741530103,0.0101330456103287
52.9090909090909,"elliptical",NA,NA,"1","elliptical",52.9090909090909,"elliptical",0.00248531316091132,0.00165234304009159,0.000592356405125639,0.00852883842181523
54.8686868686869,"elliptical",NA,NA,"1","elliptical",54.8686868686869,"elliptical",0.00204332470208168,0.00138630507539526,0.000451674213796552,0.00716405605325493
56.8282828282828,"elliptical",NA,NA,"1","elliptical",56.8282828282828,"elliptical",0.00168023965967981,0.00114007525249409,0.000347608724936068,0.00599040996743342
